?	Curve-1_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
365.087	0	14.5343	4.40946	1.96427	11.6627	0	0	17.6331	5.00591	0
365.258	251.423	125.494	173.852	295.171	15.2767	263.244	31.077	484.521	443.884	618.595
365.43	175.988	363.797	188.356	136.14	189.187	311.867	99.1052	207.818	178.357	87.6495
365.601	390.305	270.739	244.634	261.771	0	0	128.952	124.69	165.106	164.311
365.772	427.921	40.5405	470.441	211.035	484.71	674.544	141.006	402.484	393.658	20.8333
365.943	17.9156	0	0	8.66731	0	8.23057	13.9599	8.77139	22.3586	0
366.114	0	0	0	8.66696	24.0998	0	2.49071	19.4206	4.3358	0
366.285	2.57605	5.35169	0	13.5347	0	2.72141	7.35843	0	12.2073	6.7614
366.456	5.42469	36.5993	5.44824	4.91452	3.14412	6.11618	9.1148	10.2069	22.7018	2.78338
366.628	17.6163	17.6613	3.98651	10.0064	10.9667	12.8464	13.1144	25.1291	0	5.69071
366.799	4.16587	17.8642	0	2.56344	0	3.21896	0	2.12138	0	0
366.97	8.4327	18.8542	3.81411	12.0185	13.2519	12.9471	14.8535	0	12.3295	0
367.141	8.60304	0	0	0	18.6105	0	13.3854	0	6.2193	7.60012
367.312	150.205	97.6995	105.306	0	71.7538	26.5931	122.837	369.229	76.1814	332.895
367.483	0	9.99025	5.59976	9.43511	10.6684	0	0.801254	0.80105	10.0191	1.84263
367.654	0	3.74016	0	0	33.0903	3.2944	8.75063	8.47735	12.2341	8.9728
367.825	1.47009	8.6148	0	25.809	0	31.9258	3.24873	8.98293	5.36689	6.47464
367.997	17.2974	15.977	0	16.5142	0	0	8.97257	4.05717	0	4.00648
368.168	17.6767	27.279	9.23517	0	21.1305	4.1687	8.80573	2.52499	19.1159	7.66257
368.339	394.644	137.643	214.941	393.446	260.592	216.691	0	393	366.726	254.392
368.51	0	0.584146	0	1.94047	20.6501	0	11.0559	29.0781	13.1741	0
368.681	96.8521	370.657	234.601	166.307	157.151	166.357	182.627	129.505	322.682	147.91
368.852	21.5798	9.88288	6.85773	15.8813	18.7531	2.61046	16.8048	20.3545	16.7384	8.28886
369.023	0.518152	25.9583	10.099	1.37331	0	0	9.6696	2.02352	0	9.34564
369.195	0	0	5.45858	0	44.3875	17.5953	23.8707	7.48654	31.7233	6.88971
369.366	346.87	205.325	119.177	342.257	38.7958	233.385	200.198	164.595	312.083	145.057
369.537	6.2818	0.865442	0	2.7679	0	2.05809	5.05671	10.7909	15.913	0
369.708	307.735	241.073	714.212	177.985	80.9946	279.944	7.16186	373.506	25.83	443.984
369.879	171.364	441.098	0	136.17	195.569	102.893	256.653	75.7696	199.917	193.088
370.05	90.5826	232.544	151.527	137.401	223.275	156.595	125.735	369.456	29.8158	197.987
370.221	6.92974	0	5.58796	3.6889	7.10676	18.2708	14.9889	4.88524	10.0073	0
370.393	142.094	195.021	139.444	278.604	150.408	102.684	169.321	203.937	130.231	376.825
370.564	0	0	0	7.66642	11.3574	15.1486	0	2.58223	27.6382	0
370.735	4.05344	14.748	6.53459	0	7.78033	1.74119	25.7659	23.0351	33.6185	10.4233
370.906	3.32942	15.9355	0	0	0	0	0	7.56546	14.599	0
371.077	17.6797	4.6175	3.77688	9.25062	8.84555	16.1867	13.4509	19.4582	3.8272	13.1269
371.248	137.145	84.9367	419.933	164.294	306.87	239.508	329.599	153.007	0	207.842
371.419	223.767	354.596	151.038	369.458	0	217.539	235.549	102.559	365.078	214.553
371.591	154.189	177.415	281.969	168.437	250.51	241.883	235.481	231.295	185.28	108.394
371.762	132.492	0	122.72	298.686	0	187.23	0	259.786	40.9045	16.609
371.933	12.5585	7.41523	0	11.7753	0	8.88095	0	7.5103	34.4777	0.359877
372.104	161.214	371.426	509.542	505.958	428.29	519.32	237.139	144.905	313.162	212.11
372.275	389.186	309.696	415.62	571.945	319.202	374.838	89.6061	74.8058	382.828	342.402
372.446	275.617	202.446	101.618	199.53	187.98	315.709	55.3516	324.374	238.065	263.125
372.617	188.333	0	539.445	443.199	518.244	570.548	621.527	461.697	427.601	304.441
372.789	8.53789	14.0442	23.5801	13.7621	11.4456	15.2368	2.12454	20.6929	18.4422	22.0075
372.96	2.43998	34.1607	12.2939	28.4173	0	8.31973	18.145	8.31442	4.42531	12.0867
373.131	2.70356	0.564004	17.7458	12.5699	17.0801	17.5945	0.659275	37.5231	34.9993	0
373.302	7.29371	14.9846	7.59033	3.77981	18.3934	16.4503	42.1134	13.7143	10.0982	12.2983
373.473	28.6949	20.0017	11.7883	27.6385	22.3183	20.3751	14.9087	29.381	25.2189	20.5922
373.644	4.37942	11.7972	13.6872	21.3455	0	0	5.61193	18.992	15.1029	17.576
373.816	369.149	90.1424	125.39	101.462	21.4465	212.544	189.116	91.7548	150.148	126.691
373.987	7.51406	5.64757	0.43788	20.3842	4.96042	8.20555	25.1306	25.9496	7.861	4.05354
374.158	323.319	154.057	429.637	344.287	250.829	372.39	301.745	337.839	142.508	238.409
374.329	22.5686	38.1784	4.56979	13.0473	30.9377	14.2489	0	12.6052	11.9929	19.3812
374.5	481.605	406.982	389.71	542.532	802.867	464.438	331.794	565.526	591.47	77.1865
374.671	279.583	472.218	460.717	461.861	626.372	143.995	117.914	269.386	0	336.455
374.842	544.603	380.618	178.273	681.714	583.149	595.958	189.864	484.643	708.195	853.189
375.014	644.608	540.522	495.394	408.543	720.882	274.39	139.562	314.673	99.9695	314.788
375.185	530.9	426.705	381.541	235.108	596.428	533.493	447.205	141.143	856.467	838.945
375.356	199.289	444.087	312.662	437.628	283.586	257.954	637.45	234.429	317.949	453.607
375.527	0	6.59812	3.02683	27.3422	19.8374	4.51396	3.96272	22.8041	29.2915	37.7721
375.698	235.227	339.953	189.694	226.881	449.937	0	268.202	414.98	149.899	62.4296
375.869	8.81007	23.6006	0	35.3335	17.9983	18.5128	10.5887	23.4226	20.3527	0
376.041	44.2678	450.138	636.778	387.15	537.635	318.622	185.442	385.987	313.786	449.41
376.212	156.023	164.109	236.176	354.217	86.8245	345.883	305.616	293.603	186.835	0
376.383	440.86	551.844	825.78	127.348	854.236	205.686	332.244	169.425	699.495	285.246
376.554	0	26.772	2.9938	18.0249	10.5201	12.6729	20.5868	29.5978	17.7897	19.4436
376.725	12.6266	17.8598	7.73494	26.0428	19.9033	10.0413	15.7706	13.3128	17.8887	15.7197
376.896	0	0	0	6.78743	0	0	9.62238	42.3902	5.18694	5.74855
377.068	9.76595	19.0952	0	33.2856	32.8806	14.5534	13.4561	36.6665	34.6889	24.0548
377.239	0	41.5453	22.6823	16.1411	18.4667	32.6345	9.14562	10.7838	9.89844	37.7667
377.41	325.415	391.499	387.123	504.077	422.488	103.835	613.74	327.183	328.127	253.405
377.581	434.217	353.189	813.629	494.381	647.532	994.932	325.451	178.815	605.456	115.029
377.752	503.534	462.07	292.645	325.581	356.635	257.286	242.739	350.228	382.179	359.766
377.923	22.4411	24.3975	0	6.6392	29.4448	27.7747	32.4117	24.2195	40.5374	3.41579
378.095	217.642	237.245	229.355	48.0156	139.82	214.237	404.475	294.487	404.223	317.075
378.266	157.889	194.687	246.781	257.959	306.112	359.305	122.039	283.454	298.609	322.778
378.437	201.703	209.949	566.341	392.28	262.626	379.996	183.443	324.176	229.359	259.523
378.608	228.521	273.042	129.047	100.734	233.865	442.641	319.617	360.768	325.32	130.866
378.779	24.9432	33.7263	13.498	29.3483	27.3048	28.3654	17.4376	8.15314	13.2752	21.7558
378.95	237.029	282.206	374.051	464.507	162.531	487.279	180.585	324.861	228.787	59.4593
379.122	98.2456	23.8245	10.7164	0	165.273	247.35	122.31	49.3643	150.562	254.396
379.293	36.0535	38.5561	21.3314	35.5433	19.3004	39.4756	12.4369	23.6325	37.2196	25.7663
379.464	19.994	29.5963	33.9439	36.687	16.6211	31.062	46.6217	15.7649	36.7249	25.8177
379.635	370.063	876.501	531.064	444.315	385.588	671.966	445.458	418.605	912.399	847.708
379.806	449.75	463.419	675.533	507.821	566.429	658.166	628.625	588.629	380.547	579.745
379.977	37.2996	37.0715	9.47037	37.3356	12.9006	25.157	34.1631	6.31006	26.7239	5.16711
380.149	365.371	264.926	305.363	461.245	213.763	337.532	220.837	349.425	471.012	289.069
380.32	42.2138	221.164	281.013	230.036	583.411	321.321	130.979	282.949	445.728	594.892
380.491	497.203	254.497	343.923	342.617	289.25	367.796	610.342	122.776	471.889	377.174
380.662	371.4	415.08	305.202	517.975	436.763	525.244	360.564	510.392	310.611	247.413
380.833	339.668	499.453	695.724	564.619	215.145	110.077	166.738	465.456	407.57	357.397
381.005	392.841	537.907	263.659	220.802	316.304	432.807	331.204	572.241	361.37	474.093
381.176	131.652	241.278	451.852	238.273	314.737	177.145	300.294	424.009	254.495	321.271
381.347	393.16	101.182	183.054	194.432	291.19	110.638	199.728	252.79	234.167	177.974
381.518	320.896	467.727	318.272	381.021	372.428	305.892	272.282	476.322	306.686	294.016
381.689	403.613	183.576	293.361	203.111	296.06	378.343	126.472	85.6134	301.82	302.417
381.86	508.558	617.071	449.06	420.65	297.017	664.489	585.289	693.981	481.273	451.047
382.032	905.46	479.991	197.326	699.657	713.359	758.309	551.116	620.834	588.317	856.794
382.203	768.758	600.773	444.976	650.956	497.058	469.804	274.049	525.003	406.639	634.374
382.374	540.264	325.508	626.731	345.123	530.923	583.622	763.063	370.48	386.388	614.037
382.545	659.57	727.591	486.508	598.319	463.395	689.708	654.814	518.305	558.948	465.089
382.716	404.566	257.752	436.506	306.185	435.422	222.156	350.143	330.346	436.21	309.019
382.887	665.271	675.802	407.993	560.708	474.319	522.358	212.734	734.165	526.014	534.383
383.059	268.63	334.668	366.279	184.02	366.153	276.207	456.659	302.838	414.353	470.728
383.23	651.107	518.779	875.318	723.679	563.815	563.979	616.077	550.808	596.451	493.699
383.401	456.825	633.675	797.358	467.753	596.521	582.114	531.711	404.824	640.126	481.675
383.572	446.291	717.955	507.371	506.545	599.28	535.493	559.718	610.744	504.428	711.821
383.743	451.285	506.583	551.428	434.22	612.049	411.954	457.477	450.926	643.312	650.295
383.915	703.866	461.153	444.329	577.738	559.848	592.699	713.21	511.905	584.442	631.324
384.086	603.727	907.071	443.873	432.808	589.883	567.607	485.184	406.861	276.276	593.31
384.257	530.035	460.632	931.371	671.125	648.813	815.142	663.549	839.511	597.188	699.106
384.428	353.275	296.436	250.858	337.078	254.16	418.034	275.576	243.901	482.083	339.688
384.599	345.041	414.014	521.451	363.397	639.96	487.676	452.714	520.065	382.637	387.019
384.771	633.015	1053.51	671.22	684.437	465.745	693.118	912.005	642.256	738.071	681.861
384.942	260.527	400.453	475.573	470.754	336.588	419.247	427.784	407.51	513.335	469.746
385.113	293.883	375.752	200.404	391.116	222.846	372.082	284.027	324.467	340.208	392.334
385.284	206.744	230.112	339.552	516.895	382.212	373.532	506.146	415.718	394.774	417.199
385.455	588.554	565.637	581.336	384.818	591.339	410.688	556.504	555.846	485.439	476.139
385.626	406.226	645.497	397.741	294.468	619.243	648.44	570.504	528.427	368.365	478.491
385.798	378.985	301.361	307.505	304.329	400.3	415.775	400.854	481.769	392.971	325.048
385.969	337.533	434.357	295.351	338.242	376.696	390.978	418.918	456.594	455.288	370.546
386.14	743.06	799.987	617.205	674.02	767.909	923.645	908.391	754.711	962.999	972.335
386.311	811.759	949.31	887.71	684.981	925.443	826.685	885.496	613.322	593.674	665.807
386.482	625.689	598.381	419.132	476.766	389.351	496.251	510.706	479.465	561.338	310.759
386.654	481.622	310.432	283.293	309.174	336.325	335.436	544.214	380.31	342.847	307.342
386.825	350.296	416.448	342.294	369.886	385.5	437.429	431.266	432.898	286.314	490.673
386.996	427.23	347.334	394.557	442.366	439.358	300.864	446.934	537.842	381.252	418.925
387.167	348.787	410.426	419.754	472.456	288.449	277.756	263.317	346.085	380.033	444.68
387.338	510.645	552.824	611.401	648.597	464.149	601.024	658.208	479.333	443.443	679.381
387.51	530.235	578.42	504.057	727.049	452.441	546.73	351.254	736.896	725.748	650.09
