?	Curve-1_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
365.087	1.64307	0	10.5542	0	2.0342	9.0462	13.2616	0	0	0
365.258	0	0	0	44.586	0	0	220.979	0	0	93.6463
365.43	0	0	0	0	0	0	0	0	0	0
365.601	0	47.4639	1.93336	0	0	86.8787	0	0	0	0
365.772	0	368.1	195.645	0	0	114.165	63.423	0	0	0
365.943	0	0	0	0	10.6487	11.9263	0	3.34745	0	0
366.114	0	0	0	0	0	0	0	0	0	3.47746
366.285	1.19855	3.60051	0	0	0	0	0	1.11508	2.61534	0
366.456	0	0	0	0	0	8.44658	0	0	0	9.28235
366.628	0	17.0024	0	3.11489	3.52272	19.5459	15.5693	23.2551	20.9324	0
366.799	0	0	0	0	0	0	5.12262	2.7049	14.5817	0
366.97	0	8.36489	0	0	10.7231	0.258853	3.65504	11.3408	0	1.91382
367.141	14.5983	0	0	0	3.2476	2.61373	0	0	12.4653	0
367.312	0	4.19461	0	0	150.047	0	57.8729	0	36.8304	60.1943
367.483	0	30.3575	0	5.00121	0	0	0	0	0	2.06107
367.654	0	0	2.76373	2.57405	0	0	8.20179	0	0	0
367.825	0	0	0	0	4.30665	17.053	0	1.92058	9.70138	0
367.997	0	0	0	2.52293	0	0	0	9.55589	0	0
368.168	0	0	0	0	0	11.4143	0.0648966	0	0	0
368.339	73.1814	64.7127	0	85.6062	0	146.312	0	0	107.425	2.21066
368.51	0	0	13.8072	12.5252	0	0	7.50338	0	0	8.76589
368.681	0	0	39.9169	92.0987	58.9573	73.2475	103.999	66.5202	191.096	93.5272
368.852	0	0	8.36033	8.17064	12.6745	2.48326	16.256	4.554	0	0
369.023	0	3.72714	17.336	11.412	6.90458	0	0	3.15318	7.38411	4.37581
369.195	7.06126	0	0	1.8563	0	11.1876	2.56884	11.6199	5.47432	0
369.366	0	23.2228	214.233	187.283	150.097	214.006	13.1425	117.722	0	35.5986
369.537	7.90803	0	4.25809	0	0	0	0	0	0	15.3277
369.708	88.1997	430.363	182.932	233.949	147.631	187.864	46.341	0	0	85.0118
369.879	0	234.128	0	0	130.389	99.8187	0	121.126	0	0
370.05	0	5.29716	0	12.0902	28.3904	0	94.5175	90.4071	0	150.458
370.221	0	0	0	5.80861	5.39723	0	0	0	0	0
