?	Raw_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
365.087	4.42998	18.0584	5.1307	0	0	10.2601	17.3662	14.4951	12.0672	0
365.258	72.1485	235.055	309.451	0	0	239.938	20.9554	119.755	225.329	0
365.43	10.8423	61.2813	0	44.1828	7.18293	179.219	266.74	122.698	0	120.617
365.601	0	0	25.8125	52.012	101.272	114.307	0	312.635	162.038	82.7074
365.772	43.4668	266.815	0	123.109	237.011	257.128	338.142	313.923	0	173.978
365.943	0.483419	3.18916	5.00708	1.82981	13.5323	0	10.1429	7.8179	0	0
366.114	10.5865	0	0	0	13.805	8.49775	9.05025	0.990888	13.3086	6.25639
366.285	2.34706	10.2411	3.86698	3.96651	0	10.6348	2.17611	0	0	7.30117
366.456	0	17.7318	6.98869	12.8226	0	0.103171	2.29408	7.61498	9.55612	11.7882
366.628	10.0145	0	21.3648	13.5454	7.49855	3.55664	16.3971	4.51484	3.99838	20.9761
366.799	0	0	0	3.64487	0	0	26.9766	3.62549	1.19757	8.61792
366.97	0	12.0017	12.4543	0	2.68401	0	10.7634	0	15.5679	5.23888
367.141	0	26.6446	0	4.80523	0.669822	0	20.218	7.51652	0	5.95535
367.312	7.68838	295.006	76.7722	33.4445	61.3141	0	92.1429	249.588	80.0565	0
367.483	7.25868	2.04548	0	15.1587	0	7.90056	0	19.7814	1.7887	1.29013
367.654	0	0	0	0	1.49637	0	0	0	0	0
367.825	0	0	9.86075	10.7795	8.82861	0	11.4467	0.656643	0	18.7563
367.997	0	14.5859	3.29659	5.30759	0	0	2.15184	6.10741	0.948816	28.8492
368.168	5.97889	0	0	0	4.82827	0	7.99247	6.75977	13.6161	0
368.339	285.189	129.944	268.683	0	60.7161	0	241.602	232.129	291.881	342.521
368.51	0	7.93111	0	2.47577	0	0	11.8811	13.6521	0	0
368.681	231.121	0	0	0	151.803	0	61.0061	137.957	258.554	291.905
368.852	0	4.12265	0	7.95157	0	2.60492	20.6337	15.0319	9.05413	23.5742
369.023	0	5.72556	0	1.90861	0	0	10.4947	0	0.280509	26.8155
369.195	16.1287	16.6499	20.6524	10.6484	0	34.793	0	15.8173	0	0
369.366	233.828	207.833	77.5674	250.127	43.0818	105.095	47.0356	163.641	76.9487	4.97986
369.537	17.2485	12.3084	4.84206	1.39173	0	6.14855	0	0	19.6975	0
369.708	142.809	147.517	233.682	0	102.668	0	183.054	335.996	273.864	343.464
369.879	129.256	0	0	0	286.102	0	155.848	96.9774	140.267	0
