?	Curve-1_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
365.087	0	3.7727	3.28874	0	0	2.26154	0	10.9516	12.2067	9.67501
365.258	159.249	206.247	231.744	519.609	424.745	184.219	446.793	170.451	360.455	219.901
365.43	73.4004	329.221	56.6107	395.821	369.987	136.049	317.085	311.378	223.715	302.578
365.601	204.581	67.9151	11.7395	91.1571	96.2696	111.843	67.8787	145.014	14.9552	80.4561
365.772	205.356	663.499	269.287	324.338	419.738	222.347	356.632	161.653	221.479	459.626
365.943	0	4.46828	4.25738	8.91093	1.08805	6.23392	1.61903	0	21.6404	0
366.114	2.67177	8.56393	4.80317	0	0	0	8.44535	5.09319	11.8097	29.758
366.285	6.44722	21.3506	9.39782	2.58257	0	2.36316	21.5051	4.49958	5.48166	0
366.456	0.830788	14.0958	19.6193	11.7117	16.1769	8.48859	24.8998	26.1898	21.9836	24.6402
366.628	1.28052	11.2687	0	3.96947	0	0	0	0	21.8872	13.3481
366.799	6.39864	0	26.0063	7.17612	0	1.76844	12.4453	2.8126	6.25228	19.5584
366.97	9.84626	0	14.9814	0.793341	3.62006	15.8657	11.7969	0	0.142564	19.1831
367.141	12.2011	5.53223	5.86747	3.14821	0	13.3053	0	5.61136	7.13957	0
367.312	360.636	32.5255	297.985	412.422	0	220.961	77.6555	259.092	79.6091	280.829
367.483	0.436173	18.6163	6.11744	10.4979	0	6.45558	14.9479	23.6107	7.11648	0
367.654	0	0	29.3585	0.697961	0	0	9.24393	5.07257	12.8813	13.3534
367.825	5.06819	13.1449	0	3.115	3.21106	19.2796	27.7719	21.1429	0	15.2243
367.997	2.05389	11.4959	23.0269	13.2079	2.38129	16.2653	0	12.3942	1.36139	0
368.168	0	3.95628	3.47232	16.5909	3.85285	4.35659	15.0334	0	7.74815	0
368.339	319.891	255.542	42.9472	5.61794	291.317	86.7233	207.561	392.767	134.599	381.657
368.51	4.41033	15.2177	0	10.9222	7.4684	0	4.72259	0	9.17917	1.18615
368.681	240.207	78.6741	181.048	199.667	125.455	293.686	280.1	116.34	89.6323	8.83076
368.852	0	6.49403	15.5674	10.9367	4.20607	12.3557	28.4939	15.0382	3.45924	16.4923
