Wavelength (nm),Curve-1_E (s.u),Curve-2_E (s.u),Curve-3_E (s.u),Curve-4_E (s.u),Curve-5_E (s.u)
365.046,10.784,8.70965,0.0,8.42128,12.0624
365.218,0.29161,8.8669,0.862899,0.932663,0.0
365.39,102.666,169.952,393.519,0.0,65.0917
365.562,6.57669,6.95998,0.0,23.8748,5.39753
365.734,9.19354,0.0,0.0,0.0,0.0
365.906,20.9943,0.0,9.0045,0.0,16.8114
366.078,0.0,5.56872,0.0,0.0,13.2905
366.25,214.041,52.5182,40.6419,230.441,248.689
366.422,44.9535,83.2025,0.0,153.808,190.62
366.594,283.764,195.522,111.845,0.0,40.6565
366.766,279.254,116.965,241.062,223.544,174.124
366.938,205.262,92.4137,0.0,62.6759,247.551
367.11,0.0,0.0,0.0,8.27615,11.3711
367.282,0.972671,16.3746,21.7509,4.89052,12.9007
367.455,130.912,257.869,21.2768,230.656,107.561
367.627,200.894,119.219,283.675,59.1002,5.758
367.799,254.749,209.041,64.6707,102.741,0.0
367.971,107.538,105.63,75.7244,18.0442,102.532
368.143,82.4418,161.945,186.756,13.4651,170.744
368.315,460.661,0.0,0.0,42.527,504.216
368.487,177.004,45.0323,141.328,201.518,37.1858
368.659,0.0,6.83982,0.0,9.55518,14.2886
368.831,164.606,354.691,47.4752,91.5589,253.561
369.003,115.122,273.242,696.654,99.7432,0.0
369.175,27.7167,17.7234,17.3653,0.0,30.0874
369.347,213.954,51.5975,2.39321,276.416,183.638
369.519,176.332,144.025,269.871,318.71,349.713
369.691,406.844,188.811,290.352,0.0,200.953
369.863,113.466,218.386,185.108,198.4,193.717
370.035,160.012,67.358,93.5192,55.9843,157.661
370.207,5.35982,27.8615,32.4186,2.17794,5.81906
370.379,334.649,271.928,122.945,147.234,295.463
370.551,22.1495,2.32585,18.8978,21.6983,0.490336
370.723,46.9672,0.656065,4.12086,2.27916,22.0312
370.895,281.876,117.734,77.8325,414.36,412.263
371.067,25.2885,27.8563,28.0443,31.6639,6.35999
371.24,416.227,327.94,193.97,83.8924,161.546
371.412,80.5432,425.509,215.806,147.226,135.278
371.584,186.3,152.379,182.131,212.337,200.321
371.756,6.00171,24.6805,0.0,12.3772,4.82255
371.928,173.196,197.47,312.003,445.252,137.5
372.1,295.296,324.057,554.74,208.3,590.305
372.272,131.968,141.404,263.72,177.455,240.827
372.444,223.584,185.056,229.478,177.474,209.941
372.616,30.5449,24.9207,21.5589,0.0,15.1663
372.788,139.089,167.843,385.293,268.629,194.867
372.96,22.3537,223.644,350.496,219.533,115.772
373.132,261.934,27.6716,405.402,407.259,510.406
373.304,29.8021,23.0857,31.4657,11.3285,5.13922
373.476,350.023,209.137,547.248,277.417,299.23
373.648,380.406,169.492,345.382,238.64,375.399
373.82,653.719,456.147,542.519,340.009,486.339
373.992,50.5514,390.422,391.593,517.04,440.466
374.164,242.513,260.912,363.861,219.647,174.245
374.336,610.695,107.038,501.337,609.898,676.557
374.508,369.577,649.492,230.487,315.174,334.749
374.68,22.5451,28.1167,15.4705,8.1675,0.339819
374.852,332.332,327.7,484.226,225.206,384.322
375.024,327.988,364.106,324.811,311.249,351.883
375.196,481.005,425.564,344.016,802.822,670.717
375.368,32.2526,23.3517,21.0821,23.0633,36.8079
375.54,19.7184,35.1204,7.72866,27.7323,19.0854
375.712,0.0,36.7668,20.5708,39.4822,27.5585
375.884,209.496,214.428,459.338,428.32,500.64
376.056,532.744,457.283,261.246,557.504,446.046
376.228,502.487,147.833,376.304,291.128,322.03
376.4,574.521,196.046,194.078,495.056,198.26
376.572,245.594,174.758,260.144,285.457,256.739
376.744,375.23,568.499,301.604,286.475,240.385
376.916,377.748,463.925,36.34,272.54,147.346
377.088,116.492,460.643,372.147,509.205,444.247
377.261,305.937,445.051,248.689,231.005,488.604
377.433,321.463,682.037,478.243,308.186,373.172
377.605,279.549,209.099,380.525,347.715,353.564
377.777,42.347,32.3538,34.7263,13.2238,38.1641
377.949,365.765,480.19,530.006,302.577,363.887
378.121,247.185,196.604,256.444,323.578,237.984
378.293,250.816,430.694,291.544,398.735,357.516
378.465,477.849,282.364,362.038,289.554,393.907
378.637,428.472,567.301,263.714,654.224,727.564
378.809,635.845,649.922,383.725,719.304,478.921
378.981,357.545,347.158,339.109,245.131,239.473
379.153,235.872,294.859,389.438,267.257,188.636
379.325,594.105,1077.04,793.982,622.293,692.369
379.497,230.761,440.354,372.171,241.443,319.287
379.669,315.207,353.517,306.275,337.142,347.815
379.841,578.632,501.358,442.255,563.542,472.096
380.013,621.729,464.417,925.351,777.947,743.126
380.185,533.435,593.227,548.091,660.927,507.227
380.357,544.056,553.257,437.231,310.747,489.88
380.529,266.885,376.402,431.3,471.237,345.499
380.701,542.311,355.933,577.299,569.938,417.885
380.873,366.763,336.811,550.576,277.45,355.391
381.045,260.145,389.731,395.305,499.573,368.805
381.217,479.27,498.711,472.016,517.977,369.104
381.389,350.3,442.325,365.144,719.84,505.542
381.561,374.709,409.651,311.547,459.175,504.22
381.733,334.577,254.396,231.623,508.601,399.068
381.905,326.426,303.692,387.649,411.989,323.338
382.077,393.523,396.107,411.808,350.38,446.154
382.249,585.682,398.45,441.679,272.202,422.301
382.421,504.898,373.363,522.717,459.306,328.463
382.593,349.666,319.706,346.845,353.584,245.404
382.765,420.905,459.627,198.909,299.024,227.289
382.937,596.275,395.535,725.17,640.746,645.716
383.109,313.211,396.484,426.471,429.483,384.912
383.281,459.624,550.681,422.106,448.265,333.497
383.453,571.743,596.031,724.661,526.187,500.98
383.625,1204.67,971.057,1064.64,1278.8,823.721
383.797,522.463,484.177,456.129,381.814,520.053
383.969,538.957,499.767,564.233,573.819,529.3
384.141,573.58,589.384,682.461,597.794,880.384
384.313,615.159,646.846,462.843,555.058,623.234
384.485,798.54,683.143,806.664,642.672,624.719
384.657,632.125,546.64,663.141,708.213,548.913
384.829,642.285,955.895,877.8,902.111,740.046
385.001,578.006,669.944,598.508,566.805,596.642
385.173,518.966,581.982,564.291,729.208,587.698
385.345,559.309,584.074,585.818,642.516,710.084
385.517,1051.61,856.736,912.214,1108.67,933.979
385.689,678.311,791.76,866.028,743.638,872.851
385.861,842.426,795.132,777.652,771.476,754.325
386.032,970.51,1022.48,1099.44,1089.42,1240.62
386.204,768.987,763.611,760.615,710.064,807.057
386.376,884.885,912.091,922.193,873.509,880.67
386.548,786.313,846.391,963.363,915.571,966.149
386.72,1002.48,840.036,1189.65,885.587,1093.67
386.892,1349.12,1405.85,1368.19,1202.55,1483.01
387.064,1073.75,1069.89,949.409,857.809,1054.11
387.236,1286.52,1210.55,1147.39,1189.48,1079.92
387.408,1134.86,1417.28,1198.7,1293.01,1343.21
387.58,1119.0,1191.78,1439.09,1335.8,1428.86
387.752,1516.0,1518.63,1462.29,1543.36,1583.03
387.924,1131.65,1213.93,1171.69,973.85,1118.81
388.096,1330.31,1248.57,1247.1,1218.79,1286.39
388.268,1210.54,1208.2,1124.32,1207.57,1317.47
388.44,1400.76,1246.1,1340.47,1350.71,1308.81
388.612,1474.13,1300.49,1328.08,1390.52,1327.85
388.784,1224.25,1246.6,1202.19,1244.43,1105.26
388.956,1116.52,1112.69,1131.52,1006.03,1112.56
389.128,1087.81,1090.27,1016.54,948.739,961.688
389.3,676.174,599.916,666.06,680.181,695.241
389.472,708.942,831.132,650.763,665.194,739.981
389.644,638.04,569.321,551.943,493.203,663.403
389.816,718.166,682.691,547.975,667.468,716.885
389.988,394.732,452.478,444.31,482.055,492.678
390.16,370.196,382.862,336.236,327.843,352.765
390.332,419.183,273.756,382.091,289.186,346.713
390.504,371.104,331.73,278.493,299.385,335.813
390.676,273.074,299.38,350.493,386.36,490.41
390.848,430.745,336.956,531.332,419.098,384.219
391.02,318.956,375.331,341.774,337.278,359.515
391.192,428.78,344.609,403.243,490.809,456.064
391.364,418.295,399.774,503.035,315.392,419.026
391.536,337.401,310.989,317.106,282.766,261.875
391.708,461.508,346.51,426.47,427.282,382.393
391.88,424.15,473.658,384.88,378.654,369.359
392.051,520.133,481.964,360.37,481.291,284.821
392.223,319.335,383.083,334.238,454.943,391.179
392.395,304.497,263.044,327.293,327.867,232.622
392.567,342.1,367.649,380.101,243.556,390.656
392.739,287.898,401.097,372.99,387.026,337.992
392.911,380.875,319.679,380.469,373.047,368.034
393.083,382.467,385.87,345.092,311.857,339.167
393.255,495.649,369.694,386.226,309.67,406.655
393.427,426.145,462.905,319.739,401.646,455.731
393.599,412.955,404.257,447.053,555.495,368.058
393.771,449.419,329.673,481.919,493.595,400.714
393.943,412.572,380.107,331.255,338.783,387.727
394.115,399.092,330.584,390.315,379.91,513.713
394.287,392.656,285.771,446.346,352.494,421.527
394.459,501.963,511.595,518.886,416.569,417.017
394.631,423.086,434.306,387.109,405.555,444.963
394.803,414.168,320.113,476.791,410.618,367.285
394.975,430.532,501.912,446.978,384.313,436.855
395.147,370.565,399.95,344.402,469.853,451.308
395.319,347.045,401.318,393.029,424.798,455.125
395.491,411.126,393.014,406.957,468.904,418.174
395.663,319.052,345.317,493.423,433.964,411.311
395.834,498.861,417.065,454.869,509.576,439.605
396.006,495.537,571.047,420.825,519.046,532.791
396.178,519.586,616.832,505.275,559.787,519.055
396.35,629.048,550.248,635.373,565.652,654.53
396.522,777.012,929.587,843.446,847.949,830.328
396.694,1069.32,921.297,927.317,1054.86,994.807
396.866,1172.76,1241.69,1308.18,1214.55,1218.67
397.038,1445.67,1532.07,1463.69,1456.47,1527.78
397.21,1977.42,1816.4,1803.41,1828.74,1830.63
397.382,1842.44,1627.29,1566.35,1688.69,1729.19
397.554,1429.17,1305.89,1385.42,1511.61,1530.03
397.726,1178.21,1131.0,1105.48,1057.71,1180.0
397.898,769.669,767.399,725.096,714.287,930.687
398.07,520.583,456.258,555.962,476.145,493.657
398.242,435.67,384.927,437.872,531.998,361.792
398.414,414.877,440.495,537.118,450.216,487.838
398.585,367.741,401.24,430.059,416.587,341.435
398.757,394.974,429.54,416.353,340.431,423.593
398.929,411.36,455.241,435.898,470.19,459.219
399.101,448.971,421.551,402.831,407.422,424.008
399.273,362.76,398.33,428.31,372.246,413.865
399.445,437.76,443.028,374.099,431.094,399.018
399.617,475.885,492.877,529.447,361.164,569.553
399.789,396.06,487.556,474.612,450.86,448.834
399.961,499.186,409.388,416.089,477.666,418.101
400.133,500.475,518.171,555.219,554.586,453.74
400.305,437.307,369.763,522.279,400.951,433.216
