Wavelength (nm),Curve-1_E (s.u),Curve-2_E (s.u),Curve-3_E (s.u),Curve-4_E (s.u),Curve-5_E (s.u),Curve-6_E (s.u),Curve-7_E (s.u),Curve-8_E (s.u),Curve-9_E (s.u),Curve-10_E (s.u)
365.087,17.7549,9.45893,13.3713,25.8257,9.41816,0.0,0.0,0.0,11.99,0.840004
365.258,647.228,121.486,486.032,480.821,501.709,442.18,381.925,874.613,216.23,525.722
365.43,369.683,320.303,367.159,298.37,559.849,559.936,320.166,334.225,337.556,338.392
365.601,78.2263,209.363,67.0023,58.0847,151.497,397.236,111.861,222.653,248.169,74.1549
365.772,433.834,789.759,176.373,470.519,477.918,306.45,560.813,535.177,613.313,524.969
365.943,2.33954,0.870238,0.0,12.3218,0.283334,0.0,14.3859,1.72858,8.86264,2.08171
366.114,0.0,18.0731,0.0,0.0,0.0,4.60404,14.3855,0.0,37.8074,11.0926
366.285,12.1221,21.0293,0.0,12.2739,4.05844,13.8408,6.4191,0.0,0.0,9.13362
366.456,25.6204,18.9628,16.0485,2.83459,20.8335,7.13213,14.456,9.99072,14.3941,20.9935
366.628,0.947952,12.5858,10.4908,0.0,2.71468,3.48586,5.62148,0.0,28.4972,0.963189
366.799,7.15833,14.7002,15.0628,20.1443,9.74426,15.4306,11.2857,33.854,19.4158,27.3805
366.97,12.7905,23.8822,15.2336,5.84259,11.8265,1.94813,13.368,0.0,28.0517,4.06759
367.141,1.7651,0.0,5.30045,22.67,13.9084,7.85287,9.98849,1.70027,9.10739,6.42247
367.312,46.3256,298.591,0.0,116.207,26.7432,198.709,42.5562,79.563,220.383,110.469
367.483,0.0,10.6492,0.0,14.1818,24.5349,18.2063,13.2422,14.2382,10.1766,0.0
367.654,0.0,0.0,1.21179,9.57014,0.0,4.58342,0.0,0.0,12.3915,3.42608
367.825,4.46255,22.654,16.1899,13.0795,3.49861,0.446862,33.9851,4.67079,23.2736,13.489
367.997,0.902119,7.35175,15.3601,7.33449,10.5878,17.0934,9.67164,10.6677,0.598551,0.0
