Wavelength (nm),Curve-1_E (s.u),Curve-2_E (s.u),Curve-3_E (s.u),Curve-4_E (s.u),Curve-5_E (s.u),Curve-6_E (s.u),Curve-7_E (s.u),Curve-8_E (s.u),Curve-9_E (s.u),Curve-10_E (s.u)
365.087,4.63792,0.0,3.06523,0.0,21.5721,1.28535,14.0664,0.256564,9.41382,1.28011
365.258,263.91,92.7178,121.395,0.0,183.543,0.0,186.533,187.85,0.0,0.0
365.43,0.0,17.3083,155.267,182.008,0.0,0.0,94.0088,0.0,173.178,26.3413
365.601,116.001,0.0,7.78532,0.0,88.0197,0.0,0.0,0.0,55.2824,90.2254
365.772,54.1846,0.0,0.0,0.0,0.0,0.0,0.0,11.8471,0.0,0.0
365.943,0.0,0.0,0.0,0.0,2.8799,6.89613,0.0,0.0,6.28646,0.0
366.114,6.97155,0.0,0.0,12.7848,5.61022,6.62271,0.0,0.0,0.0,0.0
366.285,17.5737,25.1374,10.8127,13.2834,27.6811,23.2323,21.8139,12.3731,28.084,0.0
366.456,13.8687,24.7093,0.0,8.48621,19.334,4.2356,26.8471,0.0,17.8254,4.23036
366.628,29.6102,18.3323,2.36921,19.3125,29.3411,0.0,1.08243,12.6677,17.1829,1.40329
366.799,4.41789,0.0,12.4025,18.6962,5.51416,0.0,0.0,0.0,6.73619,17.9902
366.97,13.3268,5.87195,12.8464,0.0,20.1575,0.0,8.00977,0.0,8.54541,3.14236
367.141,22.5084,14.7804,16.8397,0.0,3.67078,11.2369,18.8297,0.0,16.9077,10.1394
367.312,9.5117,0.0,0.0,0.0,230.117,69.3115,33.6968,0.0,0.0,0.0
367.483,0.0,0.0,19.5473,17.1028,7.74369,15.0367,8.70315,9.3658,6.50812,21.0389
367.654,9.13546,0.0,10.0204,0.0,0.674397,0.0,0.0,0.0,0.0,6.32378
367.825,4.99891,7.37441,2.88008,12.7236,19.2024,9.2922,18.2504,6.35195,8.40947,21.848
367.997,15.6379,0.0,9.15005,2.60958,0.0,1.63577,11.6862,0.0,0.0,0.0
368.168,11.9212,2.82794,0.0,0.53127,6.73697,2.01506,9.06176,0.0,0.0,1.19062
368.339,0.0,152.079,0.0,30.0408,293.492,75.243,0.0,0.0,274.064,119.203
368.51,0.0,23.3736,6.59129,25.446,0.249053,0.0,20.8693,1.05196,11.8476,0.0
368.681,194.033,5.46007,177.04,139.982,370.482,92.1364,161.303,162.082,331.537,213.965
368.852,8.72459,21.7497,14.5247,16.1762,2.99419,14.1101,6.68431,10.8968,11.589,8.64357
369.023,0.0,1.23421,23.7735,0.0,29.4462,26.3627,0.0,18.5072,0.0,0.68915
369.195,5.41398,7.78949,12.5794,12.3195,13.61,14.8955,6.10437,20.1473,18.6549,12.9788
369.366,103.157,107.315,189.768,284.987,484.097,142.821,390.467,0.0,86.3597,159.587
369.537,16.6373,8.90932,8.51099,11.8009,18.0066,0.0,27.9773,0.0,1.75238,0.0
369.708,77.6284,0.0,453.768,181.459,0.0,0.0,337.543,96.2039,189.64,0.0
369.879,0.0,0.0,24.4637,218.477,0.0,193.303,0.0,103.547,38.2307,185.567
370.05,251.935,55.3267,316.942,160.651,203.541,187.097,0.0,215.486,210.738,272.752
370.221,7.72789,0.0,5.33599,6.98752,13.7394,7.37905,0.0,7.44253,11.6846,0.0
370.393,150.786,0.0,110.341,0.0,0.0,236.119,214.22,30.0847,198.616,80.7753
370.564,18.259,15.4462,8.49432,7.41518,16.3515,4.25684,0.0,23.9811,5.83171,25.0047
370.735,2.66705,19.5151,0.0,24.3182,16.0513,0.0,0.0,0.0,0.0,12.1434
370.906,0.0,34.3559,10.7469,5.02561,29.2537,34.9083,0.175829,2.20381,25.8336,13.6039
371.077,12.4704,27.407,15.2668,0.0,22.5779,6.38717,25.9949,7.54292,0.0,14.3009
371.248,206.226,174.875,411.173,75.4867,633.816,376.327,221.638,0.0,306.478,51.1782
371.419,471.323,376.416,512.181,394.965,762.021,191.138,198.471,243.245,376.019,443.501
371.591,151.76,76.498,65.3933,136.137,136.08,197.431,196.674,107.731,23.3743,199.097
371.762,39.7233,127.73,145.847,232.936,77.3273,303.691,260.66,191.792,176.087,142.893
371.933,11.4452,41.6735,20.7952,30.6387,24.0103,20.9268,0.0,30.0015,36.428,23.6522
372.104,477.735,170.145,243.715,496.858,425.208,463.481,444.982,103.399,319.704,176.134
372.275,266.929,267.822,75.1651,432.795,476.048,143.63,289.429,80.3978,86.6388,67.6867
372.446,240.78,224.014,291.443,232.831,234.431,56.6588,227.025,326.509,203.115,15.7199
372.617,368.069,65.39,496.458,183.442,336.263,331.083,182.722,477.778,378.926,123.266
372.789,17.255,1.60808,39.166,28.2565,8.24778,8.168,10.8456,17.5158,11.1082,20.7238
372.96,30.8179,10.2558,11.4958,11.2359,25.6336,17.0888,11.5744,21.2482,42.9666,23.091
373.131,6.50545,13.25,0.0,20.5107,25.351,25.8174,9.38037,10.8622,32.0344,11.6127
373.302,27.2065,9.92123,20.7186,27.5584,24.7529,6.37769,1.13639,0.0,18.3291,38.3212
373.473,19.6626,32.4146,8.25951,0.0,22.3973,10.5756,11.6149,21.2887,15.9734,22.8584
373.644,13.3696,8.64534,16.1659,25.1903,31.669,1.55193,8.8717,21.2762,7.49587,5.64269
373.816,207.086,0.0,239.1,35.8811,140.88,183.424,0.0,0.0,56.3339,73.8109
373.987,23.3309,28.9832,18.2083,27.5057,34.5306,6.32497,28.1173,24.957,9.81131,22.1576
374.158,247.854,236.095,180.674,214.545,197.396,343.228,96.1291,336.74,154.577,311.809
374.329,26.9166,24.9231,0.0,34.0952,22.8246,25.2025,31.9761,19.5316,22.4083,27.1087
374.5,464.66,411.479,165.879,595.329,295.744,78.7826,289.143,645.339,445.643,521.994
374.671,441.191,231.158,258.69,258.754,240.908,213.683,39.9174,600.695,372.551,458.774
374.842,676.655,596.498,147.635,327.481,1081.41,274.115,732.978,702.045,401.184,382.2
375.014,252.232,566.716,508.098,563.177,310.09,618.021,427.266,358.596,534.024,633.959
375.185,381.504,139.236,707.931,741.433,704.429,293.351,270.068,439.298,522.957,282.263
375.356,1.35644,197.15,242.834,381.582,184.199,300.032,407.549,573.546,0.0,281.01
375.527,0.524627,14.642,13.6975,0.603465,14.455,26.6633,23.8796,6.79287,12.9464,8.08948
375.698,53.4063,64.77,213.075,190.934,128.149,146.306,319.911,116.473,206.505,210.481
375.869,19.7117,21.268,35.6153,18.9713,32.5498,31.3778,28.321,27.6183,38.9601,38.1992
376.041,617.602,489.051,446.629,459.941,0.0,357.268,442.209,477.936,182.251,29.0189
376.212,156.556,336.461,273.639,281.301,158.835,290.594,295.143,207.567,603.402,265.497
376.383,337.015,517.518,178.707,417.118,520.014,214.224,484.386,577.942,458.965,524.429
376.554,16.8756,21.7087,30.0485,27.8771,37.3596,2.87343,40.2305,18.2286,34.7587,25.5327
376.725,25.7127,19.6232,24.4131,2.03478,31.7242,28.6407,20.3957,36.8962,27.4849,16.6205
376.896,26.3912,30.1321,5.97692,21.0087,24.7568,5.56238,35.2736,28.0173,3.31432,21.9411
377.068,8.37957,28.7775,28.3791,27.0269,20.9446,20.3187,41.0188,37.3123,12.6093,20.8596
377.239,16.6302,32.659,23.7956,32.2738,27.8299,25.0195,27.151,21.8062,21.133,24.195
377.41,425.517,348.218,406.567,491.188,401.021,434.47,202.589,183.122,446.116,288.28
377.581,335.401,272.706,767.86,747.592,620.901,413.534,199.286,673.908,782.714,370.738
377.752,114.401,397.881,112.63,314.225,207.002,501.667,279.977,392.644,301.005,342.91
377.923,19.9625,24.7956,25.4895,16.2184,22.4241,21.7981,45.5019,15.8542,17.6386,12.7817
378.095,117.477,419.084,305.056,35.0873,251.665,314.121,204.21,419.892,300.997,230.726
378.266,291.529,460.092,377.664,194.05,239.465,327.902,314.663,259.096,295.526,340.074
378.437,318.376,371.543,563.556,387.209,360.974,357.335,572.352,403.374,349.39,625.603
378.608,379.383,398.218,580.373,247.138,575.442,414.531,410.47,305.352,222.193,266.014
378.779,61.24,47.5046,24.7148,35.1045,46.2254,37.4075,38.1736,21.9062,11.1295,38.7676
378.95,174.547,277.787,93.1756,451.684,288.017,446.996,505.849,386.872,382.652,298.537
379.122,266.831,213.347,219.096,174.585,191.736,389.389,288.023,175.316,274.554,208.825
379.293,47.7743,26.1199,40.7403,53.3145,44.7746,51.5215,44.6418,32.7433,48.7273,49.0586
379.464,28.1649,17.7063,44.8877,47.9045,34.9956,51.5729,66.5385,30.0641,31.5755,45.2871
379.635,1295.23,707.154,640.325,650.67,323.357,279.731,654.857,487.234,986.868,448.458
379.806,583.873,567.802,448.657,726.572,672.505,552.127,495.452,735.658,531.014,646.545
379.977,5.60284,39.6541,19.3219,45.5494,35.6442,35.0183,30.8692,25.2513,23.759,13.1677
380.149,546.087,525.64,324.047,604.3,400.622,267.25,368.838,432.989,455.666,393.743
380.32,542.635,248.866,149.384,187.166,238.809,202.892,372.651,385.171,268.914,435.223
380.491,527.776,531.616,187.164,368.748,433.023,743.065,431.417,617.319,518.527,592.205
380.662,436.168,475.681,434.088,641.755,414.24,515.922,419.663,448.776,447.01,515.648
380.833,286.452,175.815,241.396,513.14,276.557,365.69,445.043,705.61,230.936,560.247
381.005,486.722,364.482,440.307,433.275,400.558,550.403,511.685,311.014,377.64,386.138
381.176,425.179,321.588,561.052,354.471,526.436,332.636,237.702,609.317,287.943,494.994
381.347,156.05,154.434,120.74,342.422,275.731,307.088,282.728,321.74,327.211,334.647
381.518,413.422,385.189,380.033,339.055,222.203,426.738,532.637,484.245,459.738,504.471
381.689,362.44,337.975,321.029,210.017,234.285,391.451,400.571,396.154,337.36,260.89
381.86,834.188,531.159,758.807,277.871,486.305,525.865,588.173,505.595,614.095,545.62
382.032,869.748,812.811,968.095,510.073,829.783,1133.81,977.798,573.577,754.527,795.542
382.203,1465.63,811.019,926.638,1037.36,1129.33,980.8,811.821,985.457,647.968,602.479
382.374,518.801,772.696,538.904,803.151,878.945,636.61,814.045,815.049,720.119,707.052
382.545,533.235,1028.67,1041.24,530.972,943.753,713.905,649.322,852.195,794.78,448.535
382.716,357.858,242.433,260.176,390.162,391.988,532.946,424.775,371.568,355.58,485.431
382.887,658.901,585.621,632.072,674.635,668.699,696.05,608.523,614.226,730.219,660.11
383.059,641.391,602.451,618.875,723.664,667.331,566.478,547.084,531.901,625.585,779.791
383.23,896.199,820.206,734.558,807.731,1096.89,786.343,842.792,862.796,845.241,971.441
383.401,974.583,875.152,824.299,537.794,848.241,967.74,1063.97,824.483,911.753,735.84
383.572,811.201,852.4,826.962,742.461,885.953,659.493,913.314,795.315,759.169,795.317
383.743,901.566,707.84,830.626,913.324,998.261,658.892,963.349,861.3,815.547,703.043
383.915,703.595,868.557,752.693,638.717,425.226,556.081,847.785,657.371,817.22,758.925
384.086,615.511,584.156,790.047,956.479,653.329,729.769,792.826,719.896,577.211,495.388
384.257,1307.63,1034.63,900.569,805.298,1054.31,1084.47,1122.23,1197.36,977.703,814.617
384.428,514.542,560.899,596.883,422.897,437.244,492.731,469.017,459.051,401.87,525.795
384.599,508.055,621.803,461.632,549.007,577.966,516.103,522.056,443.328,734.362,522.62
384.771,842.878,769.643,1268.57,939.415,1031.24,1187.37,881.368,927.796,1180.96,1014.17
384.942,575.035,668.498,769.304,475.176,562.464,593.546,602.438,551.681,680.099,532.163
385.113,448.473,489.447,348.121,405.944,524.43,506.682,406.355,426.939,510.69,428.723
385.284,646.939,490.712,499.099,431.38,476.359,579.385,488.51,577.075,660.466,412.594
385.455,685.261,740.344,601.079,796.958,545.095,731.638,728.401,781.097,841.636,745.584
385.626,891.782,988.984,720.475,851.61,747.89,788.257,898.412,893.296,789.494,796.759
385.798,658.457,750.415,722.519,540.58,585.117,761.14,668.908,644.956,467.259,661.282
385.969,547.864,470.568,491.981,616.03,612.239,636.086,464.611,630.04,659.582,683.234
386.14,855.31,1131.46,937.689,888.775,1288.84,1187.87,1109.01,954.313,949.473,772.83
386.311,1276.82,1153.08,1307.5,987.889,868.644,1611.94,1282.43,1088.32,1381.14,1129.77
